Country_Region,2022/01/01,2022/01/02,2022/01/03,2022/01/04,2022/01/05,2022/01/06,2022/01/07,2022/01/08,2022/01/09,2022/01/10,2022/01/11,2022/01/12,2022/01/13,2022/01/14,2022/01/15,2022/01/16,2022/01/17,2022/01/18,2022/01/19,2022/01/20,2022/01/21,2022/01/22,2022/01/23,2022/01/24,2022/01/25,2022/01/26,2022/01/27,2022/01/28,2022/01/29,2022/01/30,2022/01/31
Afghanistan,158107,158189,158183,158205,158245,158275,158300,158309,158381,158394,158471,158511,158602,158639,158678,158717,158826,158974,159070,159303,159516,159548,159649,159896,160252,160692,161004,161057,161290,162111,162926
Albania,210224,210885,210885,212021,212021,213257,214905,214905,219694,220487,222664,224569,226598,228777,230940,232637,233654,236486,239129,241512,244182,246412,248070,248070,248859,251015,252577,254126,254126,255741,258543
Algeria,218818,219159,219532,219953,220415,220825,221316,221742,222157,222639,223196,223806,224383,224979,225484,226057,226749,227559,228918,230470,232325,234536,236670,238885,241406,243568,245698,247568,249310,250774,252117
Andorra,23740,23740,24502,24802,25289,25289,26408,26408,26408,27983,28542,28899,28899,29888,29888,29888,29888,29888,29888,32201,33025,33025,33025,33025,34701,35028,35028,35556,35556,35556,35958
Angola,82398,82920,83764,84666,86636,87625,88775,89251,89718,90316,91148,91907,92581,93302,93524,93694,93974,94275,94779,95220,95676,95902,96582,97263,97594,97812,97901,98029,98057,98076,98116
Antarctica,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Antigua and Barbuda,4283,4283,4283,4486,4486,4715,4715,4844,5058,5058,5058,5214,5214,5246,5321,5321,5321,5346,5741,5741,5815,5931,5931,6023,6023,6442,6524,6558,6558,6558,6627
Argentina,5674428,5694930,5739326,5820536,5915695,6025303,6135836,6237525,6310844,6399196,6533635,6664717,6793119,6932972,7029624,7094865,7197323,7318305,7446626,7576335,7694506,7792652,7862536,7940657,8041520,8130023,8207752,8271636,8313614,8335184,8378656
Armenia,344980,345007,345036,345126,345255,345389,345518,345713,345855,345981,346224,346811,346811,347084,347377,347617,347785,348145,348708,349329,349957,350897,351711,352399,353731,355662,358218,361754,364348,366433,367795
Australia,462955,492563,537308,608803,684229,762458,860550,972457,1045291,1139097,1223505,1398776,1526961,1613249,1726116,1786007,1870362,1954977,2022581,2086522,2129688,2196870,2229104,2287126,2340046,2391062,2457285,2523265,2570523,2607242,2580386
Austria,1274628,1278327,1281328,1284811,1290817,1300899,1309691,1318582,1325632,1336348,1347274,1359957,1376504,1393335,1410269,1427326,1442182,1458292,1476626,1504720,1529850,1559478,1586146,1609498,1634631,1661328,1699469,1735230,1773059,1806650,1835602
Azerbaijan,617311,617679,617952,618365,618918,619502,620049,620679,621234,621563,622236,622881,623555,624208,624918,625726,626085,627015,628166,629352,630420,632034,633731,634488,636956,640148,643509,647073,651341,656284,658470
Bahamas,24476,25285,25534,26011,26326,26701,27122,27122,28619,28968,29489,29730,29908,29908,30655,30850,30850,31105,31549,31693,31915,31999,32068,32137,32238,32282,32376,32419,32486,32512,32562
Bahrain,282677,283344,284224,285448,286529,287939,289454,290878,292572,294466,296253,298542,300631,302872,305414,308008,310906,313925,317380,320688,324304,327466,330621,334164,338524,343400,348655,355314,362022,368767,374575
Bangladesh,1585909,1586466,1587140,1587915,1588807,1589947,1591093,1592209,1593700,1595931,1598389,1601305,1604664,1609042,1612489,1617711,1624387,1632794,1642294,1653182,1664616,1674230,1685136,1699964,1715997,1731524,1747331,1762771,1773149,1785332,1798833
Barbados,28810,28960,29160,29698,30177,30597,31004,31499,31841,32228,32795,33311,33888,34425,34961,35373,35734,35734,37063,37622,38171,38586,39212,39709,40632,41355,42122,42851,43481,43993,44430
Belarus,700421,701192,701699,702374,703507,704907,706530,707714,708291,708931,709622,710632,711723,713002,714295,715643,717034,718098,719485,721103,722939,724903,726860,728804,730207,732104,734078,736299,738601,740988,742953
Belgium,2105343,2105343,2133284,2151914,2179710,2206992,2231686,2231686,2231686,2286532,2307843,2347164,2347164,2410731,2410731,2410731,2484027,2521462,2575313,2642761,2697239,2697239,2697239,2830719,2878212,2939439,3007724,3055925,3055925,3055925,3155239
Belize,32840,32840,33457,34087,34628,35206,35802,35802,35802,36983,38072,38950,39890,40612,40612,40612,41867,43115,44145,44959,45753,45753,45753,47147,48263,49059,49794,50487,50487,50487,50487
Benin,24935,24935,24935,25522,25522,25522,25522,25522,25522,25522,25522,26036,26036,26036,26036,26036,26036,26036,26309,26309,26309,26309,26309,26309,26309,26450,26450,26450,26450,26450,26450
Bhutan,2660,2660,2664,2666,2669,2671,2753,2760,2781,2802,2830,2837,2873,2886,2904,2928,3069,3170,3229,3317,3458,3557,3649,3811,3951,4089,4225,4430,4566,4685,4891
Bolivia,599753,611031,622312,622312,631554,641817,652819,671832,677166,686023,697236,711299,711299,725459,725459,749070,754335,763392,774227,795087,804677,804677,804677,820583,828232,835170,841757,841757,847180,852280,855705
Bosnia and Herzegovina,291313,291313,291313,293684,295240,297333,297333,297333,297333,302587,304856,307433,310023,313185,313185,313185,317692,321034,324026,326995,329569,329569,329569,334141,336680,339281,341913,343986,343986,343986,347467
Botswana,219509,219509,222053,222053,222053,229855,229855,229855,229855,232432,232432,232432,237678,237678,237678,237678,239887,239887,239887,243946,243946,243946,243946,245904,245904,245904,250746,250746,250746,250746,253036
Brazil,22295621,22297427,22309081,22328252,22351104,22386930,22450222,22499525,22529183,22563104,22636359,22724232,22822177,22933289,22981851,23015128,23089509,23229851,23425392,23595178,23766499,23931609,24054405,24142032,24342322,24560093,24789795,25050601,25256198,25360647,25463530
Brunei,15470,15470,15506,15506,15532,15532,15577,15597,15634,15678,15678,15750,15750,15797,15797,15797,15901,15901,15986,15986,16066,16084,16084,16148,16148,16179,16206,16293,16345,16345,16476
Bulgaria,748184,749540,751458,757710,764476,770001,775525,778701,780417,787178,794240,799943,806977,813840,818229,820608,830604,841785,851945,860877,870751,877381,880228,891277,903676,913592,923466,933337,939212,941814,951965
Burkina Faso,17632,17632,17632,18637,18637,18637,18878,19360,19636,19636,19636,19886,19972,19972,20127,20195,20249,20290,20414,20435,20435,20514,20514,20514,20514,20591,20591,20611,20611,20611,20624
Burma,530946,531025,531155,531299,531432,531624,531801,531925,532062,532167,532402,532553,532725,532851,533021,533144,533245,533408,533604,533732,533815,533959,534071,534163,534383,534503,534671,534908,535080,535254,535532
Burundi,27366,27366,27366,32076,32076,33551,34722,34722,34722,35500,35755,35755,36115,36257,36257,36257,36654,36736,36785,36868,36868,36868,36868,37042,37138,37170,37265,37299,37299,37299,37432
Cabo Verde,42463,42811,43567,44592,45989,47376,48845,49850,50250,50959,52007,52729,52729,53784,53987,53987,54367,54637,54891,54891,55178,55256,55306,55401,55471,55543,55595,55635,55658,55677,55695
Cambodia,120507,120510,120516,120526,120535,120553,120564,120591,120621,120636,120670,120718,120718,120728,120773,120796,120825,120847,120877,120914,120956,121000,121026,121066,121094,121116,121150,121188,121242,121299,121355
Cameroon,109367,109367,109367,109367,109367,109367,109666,109666,109666,109666,109666,109666,109666,109666,109666,109666,109666,109666,109666,109666,114113,114113,114113,114113,114113,114113,114113,114113,114113,114113,116718
Canada,2256747,2286735,2323056,2372323,2412242,2454121,2499612,2528644,2554916,2613377,2646228,2681101,2712688,2753198,2771345,2786622,2828029,2848893,2872365,2895331,2916524,2930307,2935575,2955087,2984054,2991708,3020108,3036647,3045083,3052373,3073654
