Country_Region,2022/02/01,2022/02/02,2022/02/03,2022/02/04,2022/02/05,2022/02/06,2022/02/07,2022/02/08,2022/02/09,2022/02/10,2022/02/11,2022/02/12,2022/02/13,2022/02/14,2022/02/15,2022/02/16,2022/02/17,2022/02/18,2022/02/19,2022/02/20,2022/02/21,2022/02/22,2022/02/23,2022/02/24,2022/02/25,2022/02/26,2022/02/27,2022/02/28
Afghanistan,163555,164190,164727,165358,165711,166191,166924,167739,168550,169448,169940,170152,170604,171246,171422,171519,171673,171857,171931,172205,172441,172716,172901,173047,173084,173146,173395,173659
Albania,258543,261240,261240,263172,263172,264624,264875,265716,266416,267020,267020,267551,268008,268304,268491,268940,269301,269601,269904,270164,270370,270455,270734,270947,271141,271141,271527,271563
Algeria,253520,254885,255836,256806,257598,257976,258478,259088,259673,260191,260723,261226,261752,262165,262570,262994,263369,263685,263936,264054,264201,264365,264488,264603,264706,264778,264855,264936
Andorra,35958,36315,36470,36599,36599,36599,36808,36808,36989,37074,37140,37140,37140,37277,37361,37452,37522,37589,37589,37589,37589,37820,37901,37958,37999,37999,37999,37999
Angola,98226,98267,98319,98340,98351,98364,98409,98424,98453,98474,98501,98514,98514,98514,98555,98568,98585,98605,98617,98638,98658,98671,98698,98701,98701,98701,98701,98741
Antarctica,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Antigua and Barbuda,6627,6732,6732,6732,6732,6853,6853,6853,6853,7321,7331,7331,7331,7331,7342,7395,7395,7400,7408,7408,7408,7408,7429,7435,7437,7437,7437,7437
Argentina,8427778,8472848,8515285,8555379,8577215,8589879,8615285,8648075,8675327,8700437,8716940,8728262,8734551,8747601,8766174,8783208,8799858,8815247,8823054,8827504,8838674,8855624,8868188,8878486,8887973,8893568,8897178,8900656
Armenia,370922,374878,379266,383458,387490,389957,391588,394074,396885,399727,402403,404805,406379,407074,408381,410155,411878,413295,414764,415464,415757,416510,417456,418220,418792,419423,419693,419832
Australia,2620532,2644760,2676939,2704275,2727260,2752507,2779880,2811390,2822873,2854123,2876687,2902294,2914583,2945496,2969890,2967316,2990045,3013262,3030638,3048857,3074020,3099249,3124101,3150771,3170574,3188117,3209599,3235017
Austria,1861707,1889437,1933415,1967057,2003905,2037105,2067085,2093012,2122068,2162487,2197838,2231218,2261101,2286139,2310227,2336753,2375594,2406524,2437153,2462981,2484817,2506243,2530015,2565399,2594032,2623952,2649152,2671323
Azerbaijan,663693,670313,676426,683476,691180,698654,703334,710366,718145,725777,732380,738328,745169,747918,752605,759753,764202,768019,771709,774394,775432,777804,779783,781538,782748,782748,785301,785670
Bahamas,32606,32645,32680,32680,32715,32773,32802,32833,32833,32871,32903,32925,32931,32950,32972,33005,33005,33018,33024,33052,33068,33081,33081,33105,33108,33108,33129,33135
Bahrain,382748,390602,398665,405938,413372,421081,428123,435244,442062,448166,453916,458539,463805,468623,473462,477750,481512,485163,488423,492327,495212,498637,501643,504375,506974,509390,512306,514883
Bangladesh,1811987,1824180,1835776,1844828,1853187,1861532,1870901,1879255,1887271,1894535,1899803,1904826,1909664,1914356,1919102,1923031,1926570,1929154,1931304,1933291,1935242,1936837,1938135,1939651,1941057,1941816,1942680,1943577
Barbados,45216,45897,46506,47124,47777,48239,48658,49372,49958,50477,50880,51311,51624,51895,52310,52637,52909,53253,53508,53698,53884,54106,54344,54536,54731,54902,55031,55165
Belarus,744871,748505,753495,760845,769076,777391,783260,788934,797188,805651,814262,823045,831966,838571,843717,851636,859884,868078,875934,883217,887582,890089,896319,902315,907978,913333,917468,919736
Belgium,3184201,3229629,3267656,3296038,3296038,3296038,3344833,3363890,3386223,3405839,3421081,3421081,3421081,3447539,3460301,3473015,3484518,3494223,3494223,3494223,3512212,3520568,3529041,3537675,3544034,3544034,3544034,3557314
Belize,52004,52775,53198,53544,53544,53544,54179,54516,54758,54973,55183,55183,55183,55518,55653,55803,55975,56079,56079,56079,56256,56374,56450,56525,56597,56597,56597,56694
Benin,26450,26498,26498,26498,26498,26498,26498,26498,26498,26498,26552,26552,26552,26552,26552,26567,26567,26567,26567,26567,26567,26567,26567,26567,26567,26567,26567,26567
Bhutan,5203,5393,5532,5720,5934,6092,6300,6459,6648,6779,6964,7199,7429,7666,7916,8297,8683,9210,9557,10078,10112,10196,10514,11010,11369,11820,12194,12702
Bolivia,859530,863675,867071,867071,871749,871749,874906,874906,878922,878922,880891,882649,883382,885004,886108,887089,887089,888175,889044,889511,890420,891112,891851,891851,892537,893048,893223,893395
Bosnia and Herzegovina,349095,351219,353137,354325,354325,354325,356930,358398,359876,361189,362527,362527,362527,364610,365589,366450,367025,367641,367641,367641,368735,369230,369870,370295,370652,370652,370652,371202
Botswana,253036,253036,256041,256041,256041,256041,257167,257167,257167,259655,259655,259655,259655,260491,260491,260491,261913,261913,261913,261913,262652,262652,262652,262652,263950,263950,263950,263950
Brazil,25634781,25820745,26107894,26326454,26484546,26546399,26616014,26793497,26972914,27135550,27299336,27434286,27492904,27552267,27677468,27819996,27940119,28072238,28177367,28218180,28258458,28361951,28493336,28589235,28679671,28749552,28776794,28796571
Brunei,16476,16691,16691,16891,17404,17404,18152,18404,18845,19473,20454,21579,22515,23992,24659,25584,27599,27599,27599,34979,37798,41049,44334,48055,51516,55485,59447,63542
Bulgaria,963108,972260,980402,988518,993255,995436,1003448,1011588,1018851,1025129,1031660,1035285,1036824,1042954,1049543,1054566,1059192,1063808,1066413,1067648,1072493,1077160,1080571,1083425,1086328,1087796,1088520,1091279
Burkina Faso,20649,20649,20664,20673,20679,20679,20683,20685,20693,20696,20699,20705,20716,20721,20725,20729,20743,20744,20745,20751,20751,20751,20751,20751,20751,20751,20751,20751
Burma,536393,536536,536904,537223,537569,537901,538409,539554,540597,541904,543511,545298,546771,548357,550824,553564,556256,559314,562364,565667,568564,572127,575508,578446,581837,584239,586198,587891
Burundi,37432,37469,37562,37562,37562,37562,37742,37756,37756,37816,37856,37856,37856,37902,37923,37947,37947,37947,37947,37947,38011,38018,38027,38047,38063,38063,38063,38127
Cabo Verde,55721,55739,55754,55769,55772,55785,55802,55811,55820,55827,55833,55840,55842,55844,55846,55856,55856,55858,55860,55860,55863,55864,55870,55876,55880,55881,55882,55886
Cambodia,121390,121438,121484,121550,121662,121773,121881,121983,122206,122468,122742,123042,123443,123955,124139,124343,124787,125201,125753,126489,126977,127575,128133,128599,129078,129548,129920,130276
Cameroon,116718,116718,116718,116718,116718,116718,117676,117676,117676,117676,118675,118675,118675,118675,118675,118675,119107,119107,119107,119107,119107,119107,119107,119240,119240,119240,119240,119240
Canada,3085591,3100943,3114115,3127213,3133836,3139239,3155289,3165329,3175654,3186035,3193438,3203282,3206897,3219086,3225542,3233298,3240493,3247240,3250784,3253232,3256889,3264880,3274692,3280453,3289085,3290897,3294481,3302400
Central African Republic,13919,14023,14023,14023,14023,14023,14023,14023,14110,14110,14154,14154,14154,14187,14187,14187,14187,14187,14187,14187,14187,14187,14187,14187,14187,14187,14187,14225
Chad,7155,7157,7157,7157,7157,7157,7214,7216,7216,7216,7216,7216,7216,7216,7216,7216,7216,7216,7216,7216,7246,7248,7248,7248,7248,7248,7248,7255
Chile,2190561,2221276,2258005,2296712,2335034,2371833,2405672,2431845,2466098,2504168,2545819,2582934,2621427,2652713,2677692,2709854,2747552,2783458,2819246,2851382,2876455,2895931,2921131,2953895,2985873,3015630,3041400,3061019
China,134564,134745,135008,135216,135663,136115,136880,137648,138855,139968,141448,143060,144519,146700,148461,152856,159083,162889,169170,175417,183114,189565,198478,207599,217932,292792,344032,400569
Colombia,5901715,5916825,5930393,5943783,5956350,5966706,5975786,5985516,5994301,6002570,6007991,6014563,6020095,6023257,6026988,6031130,6035143,6039163,6043661,6047042,6049952,6052126,6054307,6056556,6058715,6060793,6062701,6064583
Comoros,7832,7833,7870,7870,7928,7944,7964,7965,7978,7989,7998,7998,8005,8005,8005,8010,8012,8014,8016,8020,8021,8024,8024,8026,8026,8032,8033,8033
Congo (Brazzaville),23705,23705,23705,23705,23705,23705,23792,23792,23854,23860,23860,23860,23860,23874,23874,23874,23874,23874,23874,23874,23925,23925,23925,23967,23967,23967,23967,24020
Congo (Kinshasa),85379,85510,85510,85510,85510,85510,85686,85686,85708,85743,85776,85776,85776,85793,85793,85822,85834,85834,85834,85834,85876,85876,85876,85938,85999,85999,85999,86018
Costa Rica,701471,708560,715749,721971,721971,721971,733708,739844,745949,751605,757093,757093,757093,766520,771027,775318,779323,783437,783437,783437,790444,793835,797030,799826,802472,802472,802472,806928
Cote d'Ivoire,80783,80783,80783,80821,80901,80920,80938,80976,81005,81040,81109,81118,81118,81213,81237,81253,81282,81322,81346,81367,81374,81397,81410,81410,81449,81467,81467,81483
Croatia,944552,954555,963370,971464,979000,983780,985050,990595,998463,1004804,1009973,1015185,1017915,1018367,1021777,1027572,1032033,1035632,1039157,1041212,1041524,1043334,1047108,1049667,1051697,1053568,1054596,1054794
Cuba,1046400,1047860,1049406,1050840,1052220,1053560,1054909,1055927,1056846,1057797,1058946,1059834,1060732,1061524,1062154,1062748,1063481,1064128,1064757,1065385,1065947,1066414,1066927,1067522,1068148,1068757,1069387,1069862
Cyprus,259784,262867,265945,268852,271420,273634,273634,277864,280643,283458,285943,288063,290110,293040,295686,298235,300435,302739,304503,306219,308917,311239,313406,313406,315341,318773,320160,322516
Czechia,3150554,3217661,3268443,3312744,3346615,3374680,3385286,3414963,3458101,3493940,3525477,3551711,3564497,3572795,3624361,3629389,3649295,3667743,3684163,3693738,3711531,3714705,3731633,3744898,3756826,3767707,3774273,3774273
Denmark,1819505,1875214,1919543,1961273,2000463,2038073,2073328,2124590,2179734,2234177,2283836,2328905,2367533,2397366,2441321,2484869,2525517,2561714,2595018,2621660,2650559,2681103,2710998,2736535,2759752,2777111,2794212,2810800
Diamond Princess,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712
Djibouti,15472,15475,15492,15507,15510,15510,15524,15525,15527,15529,15530,15531,15534,15534,15535,15535,15535,15537,15541,15542,15542,15542,15543,15545,15546,15547,15547,15547
Dominica,9387,9387,9502,9621,9722,9722,10000,10073,10073,10190,10311,10414,10414,10527,10669,10728,10752,10801,10801,10801,10801,10953,10991,11016,11016,11016,11016,11108
Dominican Republic,556520,557919,558936,560037,561657,562613,563657,564467,565862,567085,567895,569024,569446,569702,570236,570636,570889,571200,571552,571856,572290,572596,572596,573458,573776,574071,574071,574556
Ecuador,739297,745819,752635,761321,766398,769149,769149,769149,769149,781470,781470,781470,781470,799140,800320,800320,808925,808925,808925,808925,819886,820541,820541,827760,827760,827760,827760,827760
Egypt,428202,430480,432761,435052,437350,439651,441923,444117,446308,448497,450676,452821,452821,457081,459198,461299,463370,465423,467448,469457,471460,473449,475341,477173,478984,480727,482248,483771
El Salvador,135109,135109,135109,135109,135109,135109,135109,135109,135109,135109,135109,135109,135109,147786,147786,147786,147786,147786,147786,147786,147786,147786,147786,147786,147786,147786,147786,156364
Equatorial Guinea,15828,15828,15828,15845,15845,15845,15850,15850,15850,15853,15853,15859,15859,15859,15869,15869,15870,15870,15870,15870,15874,15874,15874,15877,15877,15877,15877,15884
Eritrea,9536,9580,9601,9619,9631,9637,9644,9651,9652,9660,9662,9664,9668,9675,9679,9680,9681,9683,9687,9687,9689,9689,9694,9696,9698,9700,9700,9701
Estonia,344060,351240,358087,366089,373900,380946,385567,391849,398519,405101,410210,415994,420604,423499,427010,435448,441941,448666,455636,459747,462728,467989,474550,478941,483955,487955,492149,494430
Eswatini,68423,68454,68505,68540,68551,68553,68579,68661,68702,68727,68762,68781,68795,68815,68858,68900,68925,68957,68972,68978,68993,69021,69050,69095,69119,69125,69130,69160
Ethiopia,465477,465792,466126,466289,466455,466539,466677,466840,467001,467153,467288,467399,467498,467575,467691,467860,467975,468234,468284,468345,468379,468426,468495,468564,468606,468625,468674,468727
Fiji,62855,63147,63147,63274,63274,63274,63356,63356,63398,63398,63476,63476,63476,63509,63509,63543,63543,63624,63624,63624,63650,63650,63687,63687,63756,63756,63756,63930
Finland,493114,501152,507940,514892,514892,514892,534790,542262,546782,559587,569973,569973,569973,582383,586809,592765,600718,605046,605046,605046,622717,625463,629727,637658,637729,637729,637729,637757
France,19681231,19998301,20274710,20517059,20731613,20887052,20935910,21174600,21177663,21511997,21646561,21765182,21851747,21884370,21886335,22130264,22223882,22310014,22386566,22445580,22466076,22563594,22638153,22707110,22765934,22819557,22862157,22877926
Gabon,46925,47148,47148,47247,47247,47247,47362,47362,47399,47399,47399,47426,47426,47446,47446,47446,47467,47484,47484,47484,47506,47506,47520,47520,47520,47520,47534,47543
Gambia,11863,11863,11863,11880,11880,11880,11880,11880,11911,11911,11911,11911,11911,11911,11911,11924,11924,11924,11924,11924,11924,11924,11924,11924,11924,11924,11924,11939
Georgia,1200124,1226444,1250108,1272371,1295505,1314603,1325838,1350454,1375615,1398059,1418027,1438353,1454065,1458093,1480841,1496156,1511800,1526205,1539493,1548893,1553668,1565769,1575999,1584454,1591936,1598172,1603007,1605472
Germany,10028181,10238799,10474730,10720143,10714125,10701221,11155840,11345188,11584394,11828165,12064783,12056471,12042843,12469534,12632383,12858189,13088911,13302565,13298266,13286301,13679141,13815611,14028662,14243278,14444287,14442304,14428898,14784096
Ghana,156920,156920,157220,157220,157541,157541,157751,157751,157751,157751,157751,157751,157751,157917,157992,158159,158220,158220,158220,158220,158434,158894,159124,159124,159124,159124,159124,159674
Greece,1965719,1984544,2002206,2020846,2036869,2047849,2066696,2090383,2109999,2129153,2146798,2163240,2174093,2194453,2216411,2235920,2255421,2274025,2289330,2298926,2317014,2336615,2353577,2369396,2385304,2397187,2405401,2421664
Grenada,12498,12589,12698,12774,12834,12862,12872,12886,13041,13102,13172,13242,13255,13266,13373,13413,13452,13491,13525,13526,13532,13565,13565,13598,13661,13696,13679,13690
Guatemala,694513,698385,702310,705614,709910,711076,712057,716082,720802,725701,729977,733960,735099,735957,740011,744754,749257,753281,756600,757588,758303,762096,766475,770135,773575,776262,776991,776991
Guinea,36166,36193,36206,36248,36262,36262,36270,36281,36297,36314,36329,36329,36329,36329,36329,36354,36354,36354,36354,36354,36393,36393,36393,36393,36393,36393,36393,36397
Guinea-Bissau,7586,7691,7726,7749,7749,7770,7772,7802,7813,7820,7820,7849,7849,7849,7878,7889,7891,7905,7907,7907,7907,7953,7972,7972,7985,7985,8001,8001
Guyana,60109,60385,60676,61108,61404,61600,61616,61734,61901,62061,62156,62156,62156,62265,62360,62465,62537,62585,62638,62656,62668,62746,62779,62798,62856,62891,62891,62921
Haiti,29549,29549,29715,29779,29832,29848,29879,29888,29907,29907,29907,30055,30055,30102,30121,30162,30208,30226,30260,30273,30287,30299,30314,30336,30340,30342,30342,30350
Holy See,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
Honduras,391874,391874,391874,391874,391874,391874,391874,391874,391874,391874,391874,391874,391874,391874,391874,404764,404764,404764,404764,404764,408456,408456,409708,411212,411212,411212,411212,411212
Hungary,1562827,1582517,1600411,1616846,1616846,1616846,1650562,1657615,1671547,1684432,1695991,1695991,1695991,1717072,1721483,1730366,1738944,1746424,1746424,1746424,1759685,1762878,1769164,1774676,1779174,1779174,1779174,1787544
Iceland,69177,70721,72136,73530,73530,73530,78201,79511,81981,83942,85980,85980,85980,92127,93933,96623,99764,102086,102086,102086,109494,112094,115241,118684,123373,123373,123373,129844
India,41630885,41803318,41952712,42080664,42188138,42272014,42339611,42410976,42478060,42536137,42586544,42631421,42665534,42692943,42723558,42754315,42780235,42802505,42822473,42838524,42851929,42867031,42881179,42894345,42905844,42916117,42924130,42931045
Indonesia,4369391,4387286,4414483,4446694,4480423,4516480,4542601,4580093,4626936,4667554,4708043,4763252,4807778,4844279,4901328,4966046,5030002,5089637,5149021,5197505,5231923,5289414,5350902,5408328,5457775,5504418,5539394,5564448
Iran,6408244,6446404,6483799,6520707,6543837,6579266,6619085,6657842,6696927,6730608,6761855,6780453,6806265,6835221,6860255,6876565,6894110,6913427,6925485,6942452,6961562,6983635,6998975,7011932,7023904,7030943,7040467,7051429
Iraq,2218483,2226776,2233725,2240294,2244610,2248199,2253484,2258844,2263525,2267745,2271521,2273535,2275571,2278582,2281566,2284205,2286451,2288777,2290011,2291170,2293244,2294929,2296665,2298164,2299767,2300645,2301590,2302793
Ireland,1187216,1193156,1199217,1205914,1205914,1205914,1221082,1224862,1230539,1236188,1242806,1242806,1242806,1255571,1250039,1255303,1260329,1265124,1265124,1265124,1276778,1280058,1284179,1287908,1292212,1292212,1292212,1300422
Israel,2966444,3037135,3095812,3111300,3142811,3196541,3247419,3286273,3316228,3347650,3374697,3394758,3426096,3451526,3474120,3491958,3511868,3523457,3535055,3552858,3566809,3576916,3589326,3601897,3607504,3615224,3625738,3634503
Italy,11116422,11235745,11348701,11449601,11542793,11621736,11663338,11765767,11847436,11923631,11991109,12053330,12105675,12134451,12205474,12265343,12323398,12377098,12427773,12469975,12494459,12554596,12603758,12651251,12693320,12732680,12764558,12782836
Jamaica,124806,124967,125250,125517,125781,125993,126222,126350,126437,126589,126732,126886,127054,127163,127233,127294,127377,127436,127516,127610,127665,127706,127741,127799,127856,127916,127961,127986
