Country_Region,2022/03/01,2022/03/02,2022/03/03,2022/03/04,2022/03/05,2022/03/06,2022/03/07,2022/03/08,2022/03/09,2022/03/10,2022/03/11,2022/03/12,2022/03/13,2022/03/14,2022/03/15,2022/03/16,2022/03/17,2022/03/18,2022/03/19,2022/03/20,2022/03/21,2022/03/22,2022/03/23,2022/03/24,2022/03/25,2022/03/26,2022/03/27,2022/03/28,2022/03/29,2022/03/30,2022/03/31
Afghanistan,173879,174073,174214,174214,174331,174582,175000,175353,175525,175893,175974,176039,176201,176409,176571,176743,176918,176983,177039,177093,177191,177255,177321,177321,177321,177321,177520,177602,177658,177716,177747
Albania,271702,271825,271825,272030,272030,272210,272250,272337,272412,272479,272552,272621,272663,272689,272711,272804,272885,272961,273040,273088,273088,273146,273164,273257,273318,273387,273432,273432,273529,273608,273677
Algeria,265010,265079,265130,265186,265227,265265,265297,265323,265346,265366,265391,265410,265432,265457,265478,265496,265511,265524,265539,265550,265562,265573,265585,265599,265612,265621,265629,265641,265651,265662,265671
Andorra,38165,38249,38342,38434,38434,38434,38620,38710,38794,38794,38794,38794,38794,38794,38794,38794,39234,39234,39234,39234,39234,39234,39713,39713,39713,39713,39713,39713,39713,40024,40024
Angola,98746,98746,98746,98796,98796,98806,98806,98829,98855,98855,98855,98909,98927,98931,98956,98985,99003,99003,99003,99003,99010,99058,99058,99081,99102,99106,99115,99115,99138,99138,99169
Antarctica,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Antigua and Barbuda,7447,7449,7449,7449,7455,7455,7455,7455,7461,7461,7466,7466,7466,7466,7470,7470,7470,7470,7473,7473,7473,7473,7482,7482,7482,7482,7485,7491,7491,7491,7491
Argentina,8904176,8912317,8921536,8929898,8934328,8936602,8942888,8949362,8955458,8961595,8967210,8970196,8971432,8976079,8981155,8985836,8990413,9004829,9006526,9007753,9011367,9016057,9019660,9021240,9023812,9025257,9026075,9028730,9032162,9035127,9037911
Armenia,420156,420498,420757,421008,421226,421341,421401,421541,421592,421714,421842,421953,422004,422021,422076,422155,422202,422254,422286,422307,422328,422354,422382,422401,422423,422444,422458,422468,422484,422498,422519
Australia,3256772,3296784,3321943,3344659,3362035,3384217,3429179,3459870,3496205,3527894,3562971,3596466,3622906,3651709,3706018,3763166,3812332,3859284,3900138,3943368,3996431,4053987,4113691,4180473,4228461,4275210,4326181,4381919,4447442,4507681,4573066
