Country_Region,2022/04/01,2022/04/02,2022/04/03,2022/04/04,2022/04/05,2022/04/06,2022/04/07,2022/04/08,2022/04/09,2022/04/10,2022/04/11,2022/04/12,2022/04/13,2022/04/14,2022/04/15,2022/04/16,2022/04/17,2022/04/18,2022/04/19,2022/04/20,2022/04/21,2022/04/22,2022/04/23,2022/04/24,2022/04/25,2022/04/26,2022/04/27,2022/04/28,2022/04/29,2022/04/30
Afghanistan,177782,177803,177827,177897,177932,177974,177974,177974,177974,177974,178141,178257,178295,178352,178373,178387,178418,178457,178513,178574,178611,178638,178648,178689,178745,178769,178809,178850,178873,178879
Albania,273759,273823,273870,273913,274000,274055,274108,274136,274191,274219,274219,274272,274320,274376,274429,274462,274504,274520,274535,274606,274606,274737,274791,274828,274828,274862,274929,275002,275055,275107
Algeria,265679,265684,265691,265694,265699,265705,265707,265714,265720,265724,265727,265730,265731,265733,265738,265739,265739,265741,265746,265746,265754,265761,265761,265767,265771,265772,265773,265776,265779,265780
Andorra,40024,40024,40024,40024,40024,40024,40328,40328,40328,40328,40328,40328,40328,40709,40709,40709,40709,40709,40709,41013,41013,41013,41013,41013,41013,41013,41013,41349,41349,41349
Angola,99194,99194,99194,99194,99194,99194,99194,99194,99194,99194,99194,99194,99194,99194,99194,99194,99194,99194,99287,99287,99287,99287,99287,99287,99287,99287,99287,99287,99287,99287
Antarctica,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Antigua and Barbuda,7493,7493,7493,7493,7493,7493,7511,7511,7511,7511,7511,7523,7523,7535,7535,7535,7539,7539,7539,7567,7567,7571,7571,7571,7571,7571,7571,7604,7626,7626
Argentina,9039838,9040640,9041124,9043098,9045326,9047408,9049250,9051243,9052083,9052536,9054126,9056203,9057923,9059351,9059944,9060495,9060923,9060923,9060923,9060923,9060923,9060923,9060923,9060923,9072230,9072230,9072230,9072230,9072230,9072230
Armenia,422540,422563,422574,422581,422594,422610,422629,422643,422662,422677,422678,422691,422711,422721,422729,422747,422762,422770,422784,422799,422805,422814,422822,422825,422828,422838,422855,422858,422865,422867
Australia,4628163,4676260,4716870,4772414,4848211,4910819,4971300,5020617,5059642,5108366,5154633,5207650,5206905,5308858,5345438,5384615,5416980,5459012,5509592,5563493,5613341,5650550,5685602,5719311,5756791,5796700,5847576,5889356,5927528,5953142
Austria,3868236,3890531,3909523,3923533,3935083,3950434,3971481,3987872,4001802,4014829,4025499,4032839,4042363,4054989,4065438,4075415,4084222,4091716,4097345,4103119,4111720,4122722,4130862,4137436,4142983,4147453,4153702,4162015,4168617,4174744
Azerbaijan,791979,792019,792061,792067,792103,792141,792166,792188,792216,792237,792253,792289,792305,792320,792320,792349,792362,792365,792391,792412,792445,792457,792476,792496,792496,792502,792521,792496,792558,792562
Bahamas,33291,33295,33295,33313,33314,33315,33330,33340,33346,33358,33360,33366,33366,33372,33388,33391,33391,33411,33411,33421,33430,33446,33463,33483,33488,33498,33511,33527,33541,33558
Bahrain,555003,555560,556241,556763,557387,558007,558609,559034,559431,560023,560552,561065,561525,561940,562399,562759,563183,563584,564176,564617,565076,565464,565830,566272,566679,567173,567614,567988,568367,568706
Bangladesh,1951658,1951714,1951770,1951831,1951867,1951903,1951947,1951995,1952023,1952065,1952109,1952131,1952162,1952197,1952224,1952275,1952326,1952362,1952412,1952440,1952485,1952506,1952532,1952556,1952583,1952602,1952625,1952644,1952674,1952691
Barbados,59495,59734,59938,60160,60592,60890,61267,61267,61953,62214,62425,62968,62968,63785,64177,64348,64348,64794,65096,65770,66317,66810,67256,67611,67934,68440,68913,69345,69562,70080
Belarus,963756,964677,965322,965654,965948,966818,967731,968676,969616,970141,970443,970750,971649,972448,973206,974046,974478,974714,974961,975566,976261,976906,977434,977813,977962,978117,978773,979346,979909,980345
