Country_Region,2022/05/01,2022/05/02,2022/05/03,2022/05/04,2022/05/05,2022/05/06,2022/05/07,2022/05/08,2022/05/09,2022/05/10,2022/05/11,2022/05/12,2022/05/13,2022/05/14,2022/05/15,2022/05/16,2022/05/17,2022/05/18,2022/05/19,2022/05/20,2022/05/21,2022/05/22,2022/05/23,2022/05/24,2022/05/25,2022/05/26,2022/05/27,2022/05/28,2022/05/29,2022/05/30,2022/05/31
Afghanistan,178899,178901,178901,178901,178905,178919,178922,178981,179010,179017,179131,179169,179203,179242,179267,179321,179328,179477,179597,179624,179674,179835,179716,179771,179835,179835,180086,180122,180174,180259,180347
Albania,275167,275177,275191,275211,275266,275310,275341,275366,275372,275416,275440,275485,275534,275574,275615,275621,275688,275732,275732,275732,275838,275985,275881,275939,275985,276012,276048,276081,276101,276101,276101
Algeria,265782,265782,265782,265782,265786,265791,265794,265798,265800,265804,265806,265808,265814,265816,265818,265823,265828,265834,265841,265847,265851,265862,265855,265860,265862,265864,265870,265873,265873,265877,265884
Andorra,41349,41349,41349,41717,41717,41717,41717,41717,41717,41717,41717,42156,42156,42156,42156,42156,42156,42572,42572,42572,42572,42894,42572,42572,42894,42894,42894,42894,42894,42894,42894
Angola,99287,99287,99287,99287,99287,99287,99287,99287,99287,99287,99287,99287,99287,99287,99287,99287,99287,99287,99287,99287,99287,99527,99287,99433,99527,99527,99527,99527,99527,99761,99761
Antarctica,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Antigua and Barbuda,7626,7626,7626,7654,7663,7663,7663,7663,7663,7663,7721,7721,7721,7721,7721,7795,7795,7855,7910,7910,7942,8062,7982,7982,8062,8119,8119,8119,8119,8163,8253
Argentina,9083673,9083673,9083673,9083673,9083673,9083673,9083673,9101319,9101319,9101319,9101319,9101319,9101319,9101319,9135308,9135308,9135308,9135308,9135308,9135308,9135308,9178795,9178795,9178795,9178795,9178795,9178795,9178795,9230573,9230573,9230573
Armenia,422871,422874,422874,422877,422877,422877,422877,422877,422896,422896,422900,422900,422900,422900,422900,422917,422917,422917,422917,422917,422917,422939,422939,422939,422939,422939,422939,422939,422939,422963,422963
Australia,5992359,6030240,6072564,6130822,6171633,6207668,6246474,6286931,6334964,6392018,6449366,6496882,6548368,6590066,6635840,6703295,6759756,6813741,6863970,6910455,6948967,7117742,7025922,7071714,7117742,7157305,7189926,7216803,7242719,7276695,7312408
Austria,4180075,4184588,4188558,4194237,4201452,4207472,4213621,4218785,4222306,4226263,4231050,4236215,4241469,4246432,4250291,4253741,4255897,4258734,4263160,4266462,4266462,4276334,4273888,4274095,4276334,4278954,4281585,4281585,4281585,4286885,4288153
Azerbaijan,792578,792579,792585,792585,792599,792607,792618,792630,792632,792638,792638,792638,792638,792638,792638,792638,792680,792685,792695,792707,792708,792714,792714,792714,792714,792714,792746,792757,792758,792759,792767
Bahamas,33578,33582,33601,33626,33655,33672,33695,33695,33748,33779,33803,33830,33830,33871,33934,33957,33989,34011,34060,34148,34212,34355,34303,34355,34355,34481,34572,34572,34672,34713,34759
Bahrain,569091,569370,569727,570103,570761,571441,572082,572810,573757,574401,575129,575762,576395,576997,577652,578255,578848,579410,579932,580346,580797,582694,581866,582287,582694,583130,583530,583984,584566,585082,585665
Bangladesh,1952716,1952726,1952733,1952743,1952747,1952766,1952776,1952799,1952829,1952855,1952888,1952939,1952957,1952979,1953012,1953049,1953081,1953103,1953138,1953188,1953204,1953328,1953264,1953298,1953328,1953356,1953379,1953407,1953447,1953481,1953507
Barbados,70449,70793,71127,71127,72282,72743,73198,73592,73856,74454,74967,75438,75845,76261,76571,76895,77364,77767,78138,78448,78448,79628,79049,79383,79628,79860,80038,80038,80324,80324,80654
Belarus,980680,980828,980868,981070,981259,981838,982331,982654,982809,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867
Belgium,4056448,4071279,4071279,4071279,4088336,4088336,4088336,4088336,4102082,4102082,4102082,4116397,4116397,4116397,4116397,4127123,4127123,4134293,4134293,4134293,4134293,4147568,4143408,4143408,4147568,4147568,4147568,4147568,4147568,4152558,4152558
Belize,57497,57497,57535,57561,57578,57612,57612,57612,57675,57729,57787,57836,57896,57896,57896,58028,58135,58215,58332,58419,58419,58873,58617,58749,58873,58949,59049,59049,59049,59243,59365
Benin,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952
Bhutan,59219,59247,59274,59358,59422,59450,59483,59497,59512,59530,59540,59552,59564,59566,59570,59574,59574,59574,59574,59574,59574,59614,59614,59614,59614,59614,59614,59614,59614,59628,59628
Bolivia,905074,905074,905097,905150,905212,905355,905428,905453,905453,905530,905820,905820,905994,906146,906146,906333,906462,906462,906743,907013,907224,907767,907307,907767,907767,907958,908383,908525,908659,908862,908862
Bosnia and Herzegovina,377087,377087,377145,377175,377229,377229,377276,377276,377345,377385,377432,377475,377511,377511,377511,377579,377606,377648,377677,377709,377709,377769,377745,377769,377769,377829,377829,377829,377829,377878,377904
