Country_Region,2022/06/01,2022/06/02,2022/06/03,2022/06/04,2022/06/05,2022/06/06,2022/06/07,2022/06/08,2022/06/09,2022/06/10,2022/06/11,2022/06/12,2022/06/13,2022/06/14,2022/06/15,2022/06/16,2022/06/17,2022/06/18,2022/06/19,2022/06/20,2022/06/21,2022/06/22,2022/06/23,2022/06/24,2022/06/25,2022/06/26,2022/06/27,2022/06/28,2022/06/29,2022/06/30
Afghanistan,180419,180520,180584,180615,180615,180688,180741,180784,180864,180864,180864,180864,181120,181178,181236,181465,181534,181574,181666,181725,181808,181912,181987,182033,182072,182149,182228,182324,182403,182528
Albania,276221,276221,276310,276342,276401,276415,276468,276518,276583,276638,276690,276731,276731,276821,276821,276821,277141,277141,277409,277444,277663,277940,278211,278504,278793,279077,279077,279167,280298,280851
Algeria,265887,265889,265889,265889,265897,265900,265904,265909,265920,265925,265925,265927,265937,265943,265952,265964,265968,265971,265975,265985,265993,266006,266015,266025,266030,266038,266049,266062,266073,266087
Andorra,42894,42894,43067,43067,43067,43067,43067,43224,43224,43224,43224,43224,43224,43224,43449,43449,43449,43449,43449,43449,43449,43774,43774,43774,43774,43774,43774,43774,43774,43774
Angola,99761,99761,99761,99761,99761,99761,99761,99761,99761,99761,99761,99761,99761,99761,99761,99761,99761,99761,99761,99761,99761,99761,99761,99761,99761,99761,99761,101320,101320,101320
Antarctica,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Antigua and Barbuda,8253,8295,8295,8378,8378,8378,8378,8378,8406,8479,8479,8492,8531,8537,8537,8537,8555,8581,8581,8581,8581,8590,8590,8625,8625,8625,8625,8625,8625,8641
Argentina,9230573,9230573,9230573,9230573,9276618,9276618,9276618,9276618,9276618,9276618,9276618,9276618,9276618,9313453,9313453,9313453,9313453,9313453,9341492,9341492,9341492,9341492,9341492,9341492,9341492,9367172,9367172,9367172,9367172,9367172
Armenia,422963,422963,422963,422963,422963,423006,423006,423006,423006,423006,423006,423006,423006,423044,423044,423044,423044,423044,423044,423104,423104,423104,423104,423104,423104,423104,423243,423243,423243,423243
Australia,7346124,7378021,7405542,7425669,7448922,7476425,7509648,7542081,7571629,7597714,7614107,7634987,7660750,7691710,7724035,7753800,7778643,7801241,7825659,7854915,7887810,7919844,7945726,7978875,8000312,8026309,8057729,8081866,8130927,8164673
Austria,4289988,4293027,4295818,4295818,4295818,4304326,4306509,4308082,4311116,4316435,4316435,4316435,4327840,4330667,4335007,4342311,4349916,4349916,4349916,4367190,4372423,4379778,4391150,4400566,4400566,4400566,4425837,4432922,4447278,4459767
Azerbaijan,792778,792785,792785,792785,792785,792785,792785,792785,792785,792785,792785,792785,792785,792785,792785,792785,792959,792985,793010,793015,793036,793063,793089,793106,793140,793164,793176,793176,793176,793176
Bahamas,34861,34861,34931,34982,35070,35079,35099,35132,35163,35218,35286,35332,35351,35351,35464,35516,35564,35603,35644,35644,35678,35703,35755,35810,35814,35835,35881,35902,35902,35975
Bahrain,586267,586861,587456,588070,588801,589809,590806,591690,591690,593654,594621,595787,597184,598552,599924,601322,602465,603848,605756,607475,609553,611632,613386,615125,616588,618498,620427,622261,624269,625856
Bangladesh,1953541,1953563,1953592,1953623,1953657,1953700,1953754,1953812,1953871,1953935,1954006,1954115,1954243,1954405,1954637,1954994,1955427,1955731,1956327,1957200,1958074,1959209,1960528,1962213,1963493,1965173,1967274,1969361,1971602,1973789
Barbados,80846,81028,81174,81319,81427,81518,81622,81800,81929,82071,82183,82255,82318,82449,82545,82643,82730,82826,82899,82950,83095,83242,83390,83524,83663,83776,83820,83975,84095,84421
Belarus,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867
Belgium,4152558,4158754,4158754,4158754,4158754,4158754,4164698,4164698,4170252,4170252,4170252,4170252,4177440,4177440,4177440,4187940,4187940,4187940,4187940,4197345,4197345,4197345,4211511,4211511,4211511,4211511,4225222,4225222,4225222,4246078
Belize,59537,59666,59788,59788,59788,60063,60287,60493,60694,60863,60863,60863,61150,61150,61150,61150,61918,61918,61918,62188,62465,62667,62875,63037,63037,63037,63310,63572,63795,63966
Benin,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,26952,27122,27122,27122,27122,27122,27122,27122,27122,27122,27122,27122,27122,27122,27122,27216
Bhutan,59628,59628,59628,59628,59628,59636,59636,59636,59636,59636,59636,59636,59644,59644,59644,59644,59644,59644,59644,59674,59674,59674,59674,59674,59674,59674,59729,59729,59729,59729
Bolivia,909372,909372,909919,909919,910134,910516,910832,911188,911635,911635,912272,912473,912869,913362,913874,914252,914827,914827,915500,916092,916092,917537,918551,919737,920595,921104,921104,922121,925096,926718
Bosnia and Herzegovina,377928,377949,377962,377962,377962,377998,378022,378054,378069,378083,378083,378083,378112,378112,378168,378193,378209,378209,378209,378295,378301,378328,378370,378413,378413,378413,378505,378577,378630,378716
Botswana,308126,308126,308126,308126,308126,308126,310431,310431,310431,310431,310431,310431,310431,314242,314242,314242,314242,314242,314242,314242,318528,318528,318528,318528,318528,318528,320127,321968,321968,322769
Brazil,31060017,31101290,31137479,31137479,31137479,31195118,31266163,31315777,31360850,31417341,31445137,31456865,31497038,31541479,31611769,31611769,31611769,31611769,31611769,31754465,31818827,31890733,31962782,32023166,32023166,32023166,32130316,32206954,32206954,32358018
