Country_Region,2022/07/01,2022/07/02,2022/07/03,2022/07/04,2022/07/05,2022/07/06,2022/07/07,2022/07/08,2022/07/09,2022/07/10,2022/07/11,2022/07/12,2022/07/13,2022/07/14,2022/07/15,2022/07/16,2022/07/17,2022/07/18,2022/07/19,2022/07/20,2022/07/21,2022/07/22,2022/07/23,2022/07/24,2022/07/25,2022/07/26,2022/07/27,2022/07/28,2022/07/29,2022/07/30,2022/07/31
Afghanistan,182594,182643,182724,182793,182793,182979,183084,183221,183235,183265,183268,183272,183285,183358,183407,183445,183572,183687,183908,184038,184224,184360,184473,184587,184819,185086,185272,185393,185481,185552,185749
Albania,281470,282141,282690,282690,282690,283811,284758,285731,286732,287984,288176,289391,290954,290954,293917,295243,296305,296732,298578,300058,301394,302767,303925,304890,305123,306789,308050,309278,310362,311381,312097
Algeria,266105,266115,266128,266173,266173,266181,266202,266228,266246,266257,266274,266303,266328,266356,266392,266424,266445,266487,266542,266591,266654,266700,266772,266839,266916,267010,267096,267194,267287,267374,267454
Andorra,44177,44177,44177,44177,44177,44671,44671,44671,44671,44671,44671,44671,44671,44671,44671,44671,44671,45061,45061,45061,45326,45326,45326,45326,45326,45326,45326,45508,45508,45508,45508
Angola,101320,101320,101320,101320,101320,101320,101320,101320,101320,101320,101320,101320,101320,101600,101901,101901,101901,102209,102209,102209,102209,102301,102301,102301,102301,102301,102301,102301,102301,102301,102301
Antarctica,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Antigua and Barbuda,8656,8665,8665,8665,8665,8668,8681,8686,8686,8686,8686,8686,8686,8704,8704,8712,8712,8712,8712,8712,8712,8736,8736,8736,8736,8741,8741,8741,8741,8773,8773
Argentina,9367172,9367172,9394326,9394326,9394326,9394326,9394326,9394326,9394326,9426171,9426171,9426171,9426171,9426171,9426171,9426171,9465827,9465827,9465827,9465827,9465827,9465827,9465827,9507562,9507562,9507562,9507562,9507562,9507562,9507562,9560307
Armenia,423243,423243,423243,423417,423417,423417,423417,423417,423417,423417,423771,423771,423771,423771,423771,423771,423771,424400,424400,424400,424400,424400,424400,424400,425365,425365,425365,425365,425365,425365,425365
Australia,8194909,8225124,8254847,8291399,8334802,8377932,8419675,8453587,8488317,8516847,8561571,8605986,8653081,8691850,8734573,8773487,8811274,8863247,8912149,8967138,9018965,9065275,9103321,9136110,9185736,9235196,9282271,9326441,9376483,9408329,9435839
Austria,4471152,4471152,4471152,4499570,4506979,4517003,4529939,4542028,4542028,4542028,4573219,4579384,4591009,4606092,4618853,4618853,4618853,4655677,4663725,4675532,4691948,4704616,4704616,4704616,4734005,4743620,4753092,4764902,4774043,4774043,4774043
Azerbaijan,793302,793335,793371,793388,793388,793388,793388,793388,793388,793388,793388,793388,793388,793388,793388,793388,793388,794656,794913,795190,795495,795832,796141,796474,796576,796882,797281,797638,798011,798404,798838
Bahamas,35975,35994,36029,36101,36114,36133,36133,36159,36245,36245,36287,36299,36299,36354,36354,36354,36435,36435,36454,36502,36533,36545,36568,36568,36604,36622,36633,36664,36670,36670,36724
Bahrain,627327,628743,630059,631562,633348,634927,636294,637542,638522,639455,640656,641978,643672,645399,646695,647935,649401,650625,651514,652527,653447,654221,654873,655649,656410,657047,657669,658238,658727,659224,659647
Bangladesh,1975682,1976787,1978689,1980974,1982972,1984700,1986490,1988101,1989040,1989854,1990375,1991031,1992058,1993382,1994433,1995440,1996340,1997412,1998291,1999395,2000279,2000899,2001345,2001775,2002323,2002944,2003570,2004188,2004543,2004892,2005257
Barbados,84562,84709,84830,84919,85121,85331,85488,85679,85881,86010,86154,86451,86691,87002,87219,87463,87584,87754,88154,88565,88965,89339,89654,89887,90080,90550,90934,91264,91593,91895,92086
Belarus,982867,982867,982867,982867,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037
Belgium,4246078,4246078,4246078,4265296,4265296,4265296,4294880,4294880,4294880,4294880,4320107,4320107,4320107,4349050,4349050,4349050,4349050,4368611,4368611,4381331,4381331,4381331,4381331,4381331,4398161,4398161,4398161,4414255,4414255,4414255,4414255
Belize,64138,64138,64138,64371,64581,64787,64948,64948,64948,64948,64948,65508,65508,65840,65994,65994,65994,66179,66317,66438,66546,66621,66621,66621,66767,66857,66857,66857,67111,67111,67111
Benin,27216,27216,27216,27216,27216,27216,27216,27216,27216,27216,27216,27216,27216,27216,27216,27216,27216,27216,27271,27271,27271,27271,27271,27271,27271,27271,27271,27271,27316,27316,27316
Bhutan,59729,59729,59729,59824,59824,59824,59824,59824,59824,59824,59940,59940,59940,59940,59940,59940,59940,60109,60109,60109,60109,60109,60109,60109,60368,60368,60368,60368,60368,60368,60368
Bolivia,928450,928450,929544,931955,931955,936702,939612,939612,942307,944286,948655,948655,956629,960779,960779,968212,969652,969652,974005,985630,991680,997615,1001213,1003400,1007919,1014252,1020678,1026692,1032023,1035593,1037500
Bosnia and Herzegovina,378797,378797,378797,379041,379132,379244,379408,379563,379563,379563,379817,379982,380211,380498,380749,380749,380749,381150,381543,381982,382382,382861,382861,382861,383415,383826,384390,384390,384976,384976,384976
Botswana,322769,322769,322769,322769,322769,323327,324154,324154,324154,324154,324154,324154,324154,324841,324841,324841,324841,324841,324841,324841,325181,325181,325181,325181,325181,325181,325181,325470,325470,325470,325470
Brazil,32434063,32471847,32490422,32535923,32610514,32687680,32759730,32830844,32874501,32896464,32940507,33004555,33076779,33142158,33250117,33290266,33301118,33339815,33397814,33454294,33505727,33555526,33555526,33591356,33621965,33659879,33704393,33748985,33790698,33813587,33833900
Brunei,164727,164727,164727,167669,168760,169848,171027,172280,172280,172280,176682,178267,179759,181256,182950,182950,182950,188219,189903,191774,193434,195113,195113,195113,200279,201857,203185,204384,205890,205890,205890
Bulgaria,1172777,1173091,1173274,1174216,1175082,1175725,1176567,1177572,1177933,1178189,1179497,1180636,1181657,1182764,1183877,1184429,1184846,1187138,1189000,1190644,1192284,1194061,1194883,1195372,1198359,1200550,1202494,1204264,1205966,1206688,1206688
Burkina Faso,21044,21044,21044,21044,21044,21044,21044,21044,21044,21044,21044,21044,21044,21044,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128
Burma,613628,613642,613648,613659,613672,613683,613695,613711,613727,613736,613751,613760,613773,613784,613798,613809,613816,613838,613855,613871,613887,613897,613940,613951,613966,613980,613991,614009,614043,614083,614092
Burundi,42698,42698,42698,42731,42794,42836,42836,42836,42836,42836,42963,43060,43060,43060,43222,43222,43222,43414,43593,43593,43850,43850,43850,43850,44437,44437,44437,44860,45308,45308,45308
Cabo Verde,60770,60940,61002,61105,61105,61264,61411,61517,61592,61623,61669,61669,61776,61776,61776,61913,61922,61922,61964,61994,62017,62017,62055,62072,62078,62095,62114,62114,62138,62149,62159
Cambodia,136282,136290,136296,136296,136301,136308,136314,136326,136343,136359,136362,136374,136390,136407,136421,136437,136455,136477,136499,136512,136532,136545,136565,136588,136612,136631,136631,136680,136706,136753,136789
Cameroon,120068,120068,120068,120068,120068,120068,120068,120068,120068,120068,120068,120068,120068,120068,120068,120068,120068,120068,120068,120068,120068,120068,120068,120068,120068,120215,120215,120215,120215,120215,120215
