Country_Region,2022/08/01,2022/08/02,2022/08/03,2022/08/04,2022/08/05,2022/08/06,2022/08/07,2022/08/08,2022/08/09,2022/08/10,2022/08/11,2022/08/12,2022/08/13,2022/08/14,2022/08/15,2022/08/16,2022/08/17,2022/08/18,2022/08/19,2022/08/20,2022/08/21,2022/08/22,2022/08/23,2022/08/24,2022/08/25,2022/08/26,2022/08/27,2022/08/28,2022/08/29,2022/08/30,2022/08/31
Afghanistan,185930,186120,186393,186697,187037,187109,187442,187685,187966,188202,188506,188704,188820,189045,189343,189477,189710,190010,190254,190435,190643,191040,191247,191585,191967,191967,191967,192463,192906,193004,193250
Albania,312375,313582,314561,315337,316145,316976,317514,317681,318638,319444,320086,320781,321345,321804,322125,322837,323282,323829,325241,325736,326077,326181,326787,327232,327607,327961,328299,328515,328571,329017,329352
Algeria,267546,267657,267777,267902,268033,268141,268254,268356,268478,268584,268718,268866,269008,269141,269269,269381,269473,269556,269650,269731,269805,269894,269971,270043,270097,270145,270175,270194,270235,270272,270304
Andorra,45508,45508,45793,45793,45793,45793,45793,45793,45793,45899,45899,45899,45899,45899,45899,45899,45975,45975,45975,45975,45975,45975,45975,46027,46027,46027,46027,46027,46027,46027,46027
Angola,102301,102301,102301,102301,102636,102636,102636,102636,102636,102636,102636,102636,102636,102636,102636,102636,102636,102636,102636,102636,102636,102636,102636,102636,102636,102636,102636,102636,102636,102636,102636
Antarctica,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Antigua and Barbuda,8773,8773,8773,8773,8773,8773,8787,8809,8809,8809,8809,8820,8820,8820,8851,8851,8851,8895,8895,8895,8895,8895,8895,8949,8949,8949,8949,8949,8949,8974,8974
Argentina,9560307,9560307,9560307,9560307,9560307,9560307,9602534,9602534,9602534,9602534,9602534,9602534,9602534,9633732,9633732,9633732,9633732,9633732,9633732,9633732,9658391,9658391,9658391,9658391,9658391,9658391,9658391,9678225,9678225,9678225,9678225
Armenia,425365,426799,426799,426799,426799,426799,426799,428648,428648,428648,428648,428648,428648,428648,430361,430361,430361,430361,430361,430361,430361,432274,432274,432274,432274,432274,432274,432274,434398,434398,434398
Australia,9473282,9517224,9554438,9586984,9615463,9638079,9656089,9684693,9709717,9729634,9760161,9778840,9794953,9810496,9828745,9849574,9870588,9887674,9902669,9911819,9922249,9933888,9948913,9960539,9976736,9987913,9997168,10005856,10018037,10030575,10042081
Austria,4774043,4799326,4807205,4815584,4821763,4821763,4821763,4838882,4842843,4848736,4855498,4861952,4861952,4861952,4878113,4881155,4885051,4891298,4898954,4898954,4898954,4915074,4918238,4923446,4929134,4934634,4934634,4934634,4934634,4951660,4956010
Azerbaijan,798940,799471,799983,800478,801018,801470,801939,802060,802060,803157,803645,804165,804585,805103,805213,805762,806472,807017,807516,807984,808569,808713,808713,809988,810589,811131,811559,812116,812248,812816,813437
Bahamas,36730,36730,36745,36776,36795,36812,36812,36850,36853,36853,36870,36881,36905,36905,36932,36936,36944,36958,36958,36983,36983,36983,36996,36996,37032,37044,37044,37044,37059,37059,37075
Bahrain,660152,660640,661116,661570,661974,662406,662814,663257,663763,664388,665092,665792,666373,666939,667573,668047,668499,668846,669147,669392,669650,669937,670176,670420,670577,670717,670854,671055,671252,671484,671697
Bangladesh,2005606,2005993,2006368,2006646,2006899,2007119,2007335,2007631,2007870,2008068,2008282,2008500,2008644,2008870,2009129,2009222,2009434,2009604,2009697,2009797,2009970,2010148,2010323,2010490,2010748,2010944,2011100,2011317,2011560,2011732,2011946
