Country_Region,2022/09/01,2022/09/02,2022/09/03,2022/09/04,2022/09/05,2022/09/06,2022/09/07,2022/09/08,2022/09/09,2022/09/10,2022/09/11,2022/09/12,2022/09/13,2022/09/14,2022/09/15,2022/09/16,2022/09/17,2022/09/18,2022/09/19,2022/09/20,2022/09/21,2022/09/22,2022/09/23,2022/09/24,2022/09/25,2022/09/26,2022/09/27,2022/09/28,2022/09/29,2022/09/30
Afghanistan,193520,193520,193912,194163,194355,194614,195012,195298,195471,195631,195925,196182,196404,196751,196870,196992,197066,197240,197434,197608,197788,198023,198163,198244,198416,198543,198750,198876,199067,199188
Albania,329615,329862,330062,330193,330221,330283,330516,330687,330842,330948,331036,331053,331191,331295,331384,331459,331540,331583,331601,331715,331810,331861,331908,331953,331976,331987,332066,332129,332173,332221
Algeria,270359,270405,270426,270443,270461,270476,270489,270507,270522,270532,270539,270551,270551,270570,270584,270599,270606,270609,270612,270612,270619,270625,270631,270637,270641,270649,270654,270662,270668,270673
Andorra,46027,46027,46027,46027,46027,46027,46113,46113,46113,46113,46113,46113,46113,46147,46147,46147,46147,46147,46147,46147,46147,46147,46147,46147,46147,46147,46147,46227,46227,46227
Angola,102636,102636,102636,102636,102636,102636,102636,102636,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131
Antarctica,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Antigua and Barbuda,8974,8974,8974,8974,8974,8974,8974,8974,8974,8974,8974,8974,8974,9008,9008,9008,9008,9008,9008,9008,9008,9008,9008,9008,9008,9089,9089,9089,9098,9098
Argentina,9678225,9678225,9678225,9689861,9689861,9689861,9689861,9689861,9689861,9689861,9697763,9697763,9697763,9697763,9697763,9697763,9697763,9703938,9703938,9703938,9703938,9703938,9703938,9703938,9708420,9708420,9708420,9708420,9708420,9708420
Armenia,434398,434398,434398,434398,436727,436727,436727,436727,436727,436727,436727,439302,439302,439302,439302,439302,439302,439302,441444,441444,441444,441444,441444,441444,441444,442875,442875,442875,442875,442875
Australia,10051647,10060794,10066729,10072887,10083201,10095000,10103268,10111190,10111728,10114810,10119203,10121004,10122875,10122875,10150636,10157316,10158445,10159613,10161241,10162809,10164301,10199774,10201791,10201791,10204195,10205957,10207587,10209239,10238422,10239653
Austria,4961354,4966009,4966009,4966009,4977837,4980628,4984809,4984809,4984809,4984809,4984809,5006893,5009501,4996567,5002850,5008515,5013900,5024113,5027739,5033797,5042307,5050233,5058191,5066790,5073706,5079700,5090354,5105202,5118512,5131527
Azerbaijan,813998,814435,815047,815523,815523,816087,816589,816985,817322,817596,817862,817938,818263,818634,818890,819124,819338,819518,819588,819847,820098,820299,820513,820662,820823,820858,820998,821162,821311,821440
Bahamas,37081,37081,37081,37081,37101,37101,37101,37101,37125,37125,37146,37156,37156,37156,37187,37187,37187,37187,37203,37213,37213,37213,37258,37267,37267,37267,37267,37267,37276,37290
Bahrain,671920,672074,672245,672447,672636,672859,673066,673314,673498,673693,673996,674303,674621,674909,675205,675460,675741,676094,676451,676846,677242,677667,677961,678280,678703,679151,679560,679912,680271,680559
Bangladesh,2012162,2012376,2012531,2012761,2013094,2013407,2013689,2014077,2014355,2014577,2014887,2015308,2015743,2016145,2016583,2016946,2017087,2017614,2018215,2018829,2019470,2020148,2020768,2021118,2021690,2022408,2023145,2023810,2024489,2025197
Barbados,101215,101215,101397,101451,101510,101624,101696,101747,101809,101850,101850,101899,101979,102025,102068,102119,102119,102193,102230,102279,102321,102366,102383,102383,102436,102456,102488,102516,102546,102580
Belarus,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037
Belgium,4488054,4488054,4488054,4488054,4492773,4492773,4497199,4497199,4497199,4497199,4497199,4497199,4504106,4504106,4511590,4511590,4511590,4511590,4511590,4517212,4517212,4525931,4525931,4525931,4525931,4533249,4533249,4533249,4544505,4544505
Belize,68302,68350,68350,68350,68350,68452,68452,68452,68473,68473,68473,68473,68612,68612,68612,68704,68704,68704,68704,68743,68743,68743,68784,68784,68784,68784,68826,68826,68826,68854
Benin,27490,27490,27490,27490,27490,27490,27490,27490,27490,27490,27490,27490,27490,27638,27638,27638,27638,27638,27638,27638,27638,27638,27638,27638,27638,27638,27638,27638,27638,27638
Bhutan,61076,61076,61076,61076,61233,61233,61233,61233,61233,61233,61233,61419,61419,61419,61419,61419,61419,61419,61730,61730,61730,61730,61730,61730,61730,61730,61969,61969,61969,61969
Bolivia,1103008,1103556,1103889,1104102,1104102,1104421,1105236,1105236,1105543,1105812,1106142,1106142,1106319,1106538,1106900,1106900,1107049,1107139,1107201,1107456,1107456,1107689,1107689,1107782,1107908,1107963,1107963,1108055,1108195,1108262
Bosnia and Herzegovina,395994,396273,396273,396273,396524,396524,396873,396873,397098,397098,397098,397296,397467,397602,397678,397822,397822,397822,397822,397949,398035,398035,398221,398221,398221,398415,398506,398574,398668,398750
Botswana,325864,325864,325864,325864,325864,325911,325911,325911,325931,325931,325931,325931,326127,326127,326127,326127,326127,326127,326127,326127,326127,326127,326127,326127,326127,326308,326308,326308,326308,326308
Brazil,34429853,34456145,34456145,34456145,34477539,34477539,34477539,34477539,34516739,34516739,34516739,34533957,34544377,34558902,34568833,34568833,34568833,34568833,34592163,34592027,34592027,34616655,34624427,34624427,34624427,34638288,34638288,34654190,34654190,34672524
Brunei,220245,220245,220245,220245,220245,223059,223059,223059,223059,223059,223059,223059,223059,224610,224610,224610,224610,224610,224610,226237,226237,226237,226237,226237,226237,226237,226237,227756,227756,227756
Bulgaria,1243657,1244329,1244555,1244733,1245457,1245918,1246665,1247215,1247778,1248035,1248200,1248200,1249706,1250250,1250627,1251331,1251529,1251669,1252615,1253233,1253772,1253934,1254682,1254951,1255139,1256266,1257149,1257918,1258670,1259471
Burkina Faso,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21128,21631,21631,21631,21631
Burma,615315,615399,615489,615559,615654,615800,616023,616210,616401,616663,616852,617056,617355,617739,617998,618303,618664,618898,619167,619566,620035,620444,620744,621124,621402,621686,622042,622423,622802,622802
Burundi,49287,49370,49370,49370,49370,49370,49370,49370,49370,49370,49370,49370,49370,49370,49882,49882,49882,49882,49957,50026,50026,50040,50066,50066,50066,50129,50129,50129,50129,50193
