Country_Region,2022/10/01,2022/10/02,2022/10/03,2022/10/04,2022/10/05,2022/10/06,2022/10/07,2022/10/08,2022/10/09,2022/10/10,2022/10/11,2022/10/12,2022/10/13,2022/10/14,2022/10/15,2022/10/16,2022/10/17,2022/10/18,2022/10/19,2022/10/20,2022/10/21,2022/10/22,2022/10/23,2022/10/24,2022/10/25,2022/10/26,2022/10/27,2022/10/28,2022/10/29,2022/10/30,2022/10/31
Afghanistan,199310,199386,199545,199690,199845,199994,200130,200202,200372,200469,200626,200729,200846,201014,201096,201212,201276,201503,201557,201750,201949,202026,202108,202199,202347,202509,202608,202756,202834,202966,203063
Albania,332263,332285,332290,332337,332372,332410,332443,332472,332494,332503,332534,332555,332579,332598,332619,332638,332645,332673,332701,332719,332739,332754,332772,332776,332816,332847,332889,332911,332949,332966,332966
Algeria,270676,270679,270682,270690,270693,270697,270701,270701,270707,270713,270716,270722,270722,270734,270734,270740,270757,270766,270768,270769,270771,270771,270783,270788,270800,270810,270817,270826,270829,270836,270838
Andorra,46227,46227,46227,46227,46227,46275,46275,46275,46275,46275,46275,46366,46366,46366,46366,46366,46366,46366,46449,46449,46449,46449,46449,46449,46449,46535,46535,46535,46535,46535,46535
Angola,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131,103131
Antarctica,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Antigua and Barbuda,9098,9098,9098,9098,9098,9098,9098,9098,9098,9098,9098,9106,9106,9106,9106,9106,9106,9106,9106,9106,9106,9106,9106,9106,9106,9106,9106,9106,9106,9106,9106
Argentina,9708420,9711355,9711355,9711355,9711355,9711355,9711355,9711355,9713594,9713594,9713594,9713594,9713594,9713594,9713594,9715464,9715464,9715464,9715464,9715464,9715464,9715464,9717546,9717546,9717546,9717546,9717546,9717546,9717546,9718875,9718875
Armenia,442875,442875,443785,443785,443785,443785,443785,443785,443785,444482,444482,444482,444482,444482,444482,444482,444869,444869,444869,444869,444869,444869,444869,445100,445100,445100,445100,445100,445100,445100,445242
Australia,10240631,10241739,10243195,10244727,10246170,10275165,10275681,10276500,10277539,10278831,10280150,10281387,10308233,10309104,10309725,10310525,10311612,10312818,10313911,10341058,10341878,10342827,10343747,10345256,10346805,10348288,10364635,10375475,10376653,10377788,10379442
Austria,5144116,5154447,5162934,5176787,5195408,5210285,5226219,5239883,5252058,5260762,5273660,5292125,5306372,5319474,5331324,5340548,5346939,5356174,5369885,5379734,5387830,5387830,5387830,5402162,5408648,5416866,5421306,5426408,5432162,5436721,5439567
Azerbaijan,821532,821635,821661,821757,821865,821937,822027,822104,822171,822186,822278,822346,822427,822485,822538,822599,822617,822686,822751,822805,822852,822908,822954,822959,823023,823064,823100,823149,823202,823247,823258
Bahamas,37290,37309,37309,37309,37309,37309,37309,37309,37318,37318,37318,37318,37318,37318,37334,37334,37334,37334,37334,37342,37342,37342,37342,37364,37364,37364,37369,37369,37369,37386,37386
Bahrain,680805,681210,681675,682114,682470,682816,683047,683242,683482,683773,684229,684545,684832,685067,685269,685602,685969,686317,686629,686932,687146,687353,687591,688044,688359,688646,689013,689256,689480,689820,690187
Bangladesh,2025677,2026212,2026908,2027565,2028114,2028524,2029015,2029314,2029723,2030090,2030550,2031006,2031451,2031797,2032092,2032443,2032832,2033119,2033419,2033662,2033878,2034002,2034141,2034348,2034533,2034729,2034866,2034968,2035037,2035152,2035240
Barbados,102580,102580,102580,102580,102580,102580,102580,102580,102580,102580,102580,102609,102609,102609,102609,103014,103014,103014,103014,103014,103014,103014,103014,103014,103014,103014,103014,103014,103014,103014,103014
Belarus,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037,994037
Belgium,4544505,4544505,4553333,4553333,4553333,4566207,4566207,4566207,4566207,4575519,4575519,4575519,4586564,4586564,4586564,4586564,4594338,4594338,4594338,4602438,4602438,4602438,4602438,4607296,4607296,4607296,4612239,4612239,4612239,4612239,4612239
Belize,68854,68854,68854,68884,68884,68884,68884,68884,68884,68884,68909,68909,68909,68909,68909,68909,68926,68926,68926,68926,68926,68926,68926,68943,68943,68943,68943,68943,68943,68943,68943
Benin,27638,27638,27638,27638,27782,27782,27782,27782,27782,27782,27782,27782,27782,27782,27782,27782,27782,27782,27782,27782,27782,27782,27782,27782,27782,27782,27782,27782,27782,27782,27782
Bhutan,61969,61969,62095,62095,62095,62095,62095,62095,62095,62200,62200,62200,62200,62200,62200,62200,62247,62248,62248,62248,62248,62248,62248,62331,62331,62331,62331,62331,62331,62331,62380
