Country_Region,2021/01/01,2021/01/02,2021/01/03
Afghanistan,52513,52586,52709
Albania,58316,58991,59438
Algeria,99897,100159,100408
Andorra,8117,8166,8192
Angola,17568,17608,17642
Antarctica,0,0,0
Antigua and Barbuda,159,159,160
Argentina,1629594,1634834,1640718
Armenia,159738,159798,160027
Australia,28460,28484,28504
Austria,358774,360777,362368
Azerbaijan,219041,219462,220265
Bahamas,7887,7887,7914
Bahrain,92913,93184,93478
Bangladesh,514500,515184,516019
Barbados,395,395,556
Belarus,196223,198125,199962
Belgium,648289,649169,650011
Belize,10776,10807,10901
Benin,3251,3251,3251
Bhutan,689,710,716
Bolivia,160985,162055,162661
Bosnia and Herzegovina,112143,112143,112645
Botswana,14805,14805,14805
Brazil,7703971,7719324,7736514
Brunei,157,157,172
Bulgaria,202540,202880,203051
Burkina Faso,6828,6940,7051
Burma,125042,125616,126345
Burundi,822,822,833
Cabo Verde,11872,11883,11920
Cambodia,379,381,382
Cameroon,26848,26848,26848
Canada,596582,602396,612021
Central African Republic,4963,4963,4963
Chad,2141,2169,2213
Chile,612564,615902,618191
China,102649,102731,102808
Colombia,1654880,1666408,1675820
Comoros,823,864,864
Congo (Brazzaville),7107,7107,7107
Congo (Kinshasa),17849,17998,18102
Costa Rica,169321,169321,169321
Cote d'Ivoire,22563,22563,22648
Croatia,212007,212262,212958
Cuba,12056,12225,12424
Cyprus,23108,23275,23902
Czechia,732022,735469,740481
Denmark,166567,168182,169358
Diamond Princess,712,712,712
Djibouti,5840,5841,5842
Dominica,88,88,88
Dominican Republic,172218,172965,173331
Ecuador,213378,214513,214614
Egypt,139471,140878,142187
El Salvador,46515,46803,46803
Equatorial Guinea,5277,5277,5277
Eritrea,1320,1320,1320
Estonia,28406,28789,29131
Eswatini,9482,9711,9943
Ethiopia,124652,125049,125622
Fiji,49,49,49
Finland,36676,36804,37009
France,2697014,2700480,2712975
Gabon,9571,9571,9571
Gambia,3800,3800,3800
Georgia,228410,228752,229169
Germany,1721839,1757872,1768423
Ghana,54930,55064,55168
Greece,139447,139709,140099
Grenada,127,127,127
Guatemala,138236,138316,138475
Guinea,13738,13784,13784
Guinea-Bissau,2452,2452,2455
Guyana,6348,6351,6358
Haiti,10015,10015,10077
Holy See,27,27,27
Honduras,122974,123144,123369
Hungary,325278,326688,327995
Iceland,5754,5754,5754
India,10305788,10323965,10340469
Indonesia,751270,758473,765350
Iran,1231429,1237474,1243434
Iraq,596193,597033,597774
Ireland,93532,96926,101887
Israel,428510,434799,441542
Italy,2129376,2141201,2155446
Jamaica,12915,12931,13049
Japan,239005,242076,245242
Jordan,295765,296668,298208
Kazakhstan,202060,202880,203563
Kenya,96614,96678,96802
Kiribati,0,0,0
"Korea, North",0,0,0
"Korea, South",62593,63244,64264
Kosovo,51502,51502,51965
Kuwait,150869,151074,151343
Kyrgyzstan,81156,81214,81388
Laos,41,41,41
Latvia,41615,41929,42497
Lebanon,183888,186408,189278
Lesotho,3206,3206,3206
Liberia,1800,1800,1800
Libya,100744,100744,101414
Liechtenstein,2245,2259,2282
Lithuania,147862,149105,150529
Luxembourg,46415,46415,46415
MS Zaandam,9,9,9
Madagascar,17714,17767,17767
Malawi,6684,6712,6844
Malaysia,115078,117373,119077
Maldives,13804,13834,13867
Mali,7203,7226,7253
Malta,12909,12997,13082
Marshall Islands,4,4,4
Mauritania,14581,14677,14794
Mauritius,527,527,527
Mexico,1437185,1443544,1448755
Micronesia,,,
Moldova,145258,145694,145873
Monaco,885,901,907
Mongolia,1220,1242,1263
Montenegro,48589,48856,49195
Morocco,440970,442141,443146
Mozambique,18794,18968,19309
Namibia,24545,24654,25116
Nauru,0,0,0
Nepal,261019,261438,261859
Netherlands,816616,825249,832702
New Zealand,2162,2181,2181
Nicaragua,4829,4829,4829
Niger,3403,3437,3465
Nigeria,88587,89163,90080
North Macedonia,83743,83789,84024
Norway,49803,50266,50716
Oman,128867,128867,129404
Pakistan,484362,486634,488529
Palau,0,0,0
Panama,249733,251764,253736
Papua New Guinea,780,780,799
Paraguay,108349,108718,109073
Peru,1015137,1015137,1018099
Philippines,475820,476916,477807
Poland,1305774,1312780,1318562
Portugal,420629,423870,427254
Qatar,144042,144240,144437
Romania,636201,637395,640429
Russia,3153960,3179898,3203743
Rwanda,8460,8567,8676
Saint Kitts and Nevis,32,33,33
Saint Lucia,353,353,353
Saint Vincent and the Grenadines,121,122,124
Samoa,2,2,2
San Marino,2384,2428,2463
Sao Tome and Principe,1022,1024,1024
Saudi Arabia,362878,362979,363061
Senegal,19364,19511,19697
Serbia,339997,341904,343870
Seychelles,267,267,284
Sierra Leone,2635,2646,2673
Singapore,58629,58662,58697
Slovakia,285079,287405,289150
Slovenia,123950,124343,125086
Solomon Islands,17,17,17
Somalia,4714,4714,4714
South Africa,1073887,1088889,1100748
South Sudan,3558,3558,3558
Spain,1928265,1928265,1928265
Sri Lanka,43856,44371,44774
Sudan,25730,25882,26039
Summer Olympics 2020,0,0,0
Suriname,6277,6343,6393
Sweden,437379,437379,437379
Switzerland,452296,452296,452296
Syria,11526,11616,11710
Taiwan*,802,808,812
Tajikistan,13665,13671,13674
Tanzania,509,509,509
Thailand,7163,7379,7694
Timor-Leste,44,44,46
Togo,3662,3683,3702
Tonga,0,0,0
Trinidad and Tobago,7158,7162,7168
Tunisia,140557,141979,143544
Turkey,2220855,2232035,2241912
Tuvalu,0,0,0
US,20397401,20670025,20873238
Uganda,35511,35712,35922
Ukraine,1096855,1102256,1107137
United Arab Emirates,209678,211641,213231
United Kingdom,2549671,2607548,2662664
Uruguay,19753,20275,20823
