Country_Region,2022/01/01,2022/01/02,2022/01/03,2022/01/04
Afghanistan,158107,158189,158183,158205
Albania,210224,210885,210885,212021
Algeria,218818,219159,219532,219953
Andorra,23740,23740,24502,24802
Angola,82398,82920,83764,84666
Antarctica,11,11,11,11
Antigua and Barbuda,4283,4283,4283,4486
Argentina,5674428,5694930,5739326,5820536
Armenia,344980,345007,345036,345126
Australia,462955,492563,537308,608803
Austria,1274628,1278327,1281328,1284811
Azerbaijan,617311,617679,617952,618365
Bahamas,24476,25285,25534,26011
Bahrain,282677,283344,284224,285448
Bangladesh,1585909,1586466,1587140,1587915
Barbados,28810,28960,29160,29698
Belarus,700421,701192,701699,702374
Belgium,2105343,2105343,2133284,2151914
Belize,32840,32840,33457,34087
Benin,24935,24935,24935,25522
Bhutan,2660,2660,2664,2666
Bolivia,599753,611031,622312,622312
Bosnia and Herzegovina,291313,291313,291313,293684
Botswana,219509,219509,222053,222053
Brazil,22295621,22297427,22309081,22328252
Brunei,15470,15470,15506,15506
Bulgaria,748184,749540,751458,757710
Burkina Faso,17632,17632,17632,18637
Burma,530946,531025,531155,531299
Burundi,27366,27366,27366,32076
Cabo Verde,42463,42811,43567,44592
Cambodia,120507,120510,120516,120526
Cameroon,109367,109367,109367,109367
Canada,2256747,2286735,2323056,2372323
Central African Republic,12163,12163,12163,12163
Chad,6183,6183,6183,6185
Chile,1808398,1810302,1811297,1812348
China,128132,128259,128596,128771
Colombia,5169855,5181173,5191021,5203374
Comoros,6688,6835,6907,7068
Congo (Brazzaville),20089,20089,21277,21277
Congo (Kinshasa),74793,74793,74793,79274
Costa Rica,570556,570556,570556,575871
Cote d'Ivoire,71815,72352,72352,73786
Croatia,720538,720951,722054,727899
Cuba,966473,966942,967498,968171
Cyprus,169159,172697,177721,183178
Czechia,2480736,2481832,2483762,2493145
Denmark,831974,839952,849334,874890
Diamond Princess,712,712,712,712
Djibouti,13668,13685,13723,13769
Dominica,6862,6862,6862,7073
Dominican Republic,419927,421953,424809,428509
Ecuador,551620,552324,553201,554436
Egypt,386358,387159,387882,388651
El Salvador,121945,121945,122063,122063
Equatorial Guinea,13710,13710,13710,13710
Eritrea,8026,8049,8063,8128
Estonia,242123,242552,243236,244733
Eswatini,66241,66286,66441,66674
Ethiopia,424340,426656,428796,432807
Fiji,54147,54147,55009,55009
Finland,277700,281702,286679,296204
France,10296909,10355341,10422830,10694804
Gabon,41798,41798,42640,42640
Gambia,10170,10170,10170,10376
Georgia,936844,937640,938583,942173
Germany,7115992,7125701,7129500,7261721
Ghana,143997,145052,146119,147203
Greece,1240862,1258495,1294741,1344923
Grenada,6299,6306,6338,6787
Guatemala,628589,628695,628804,629811
Guinea,32448,32671,32867,33045
Guinea-Bissau,6484,6484,6499,6514
Guyana,39779,40060,40154,40639
Haiti,26213,26255,26259,26259
Holy See,27,27,27,27
Honduras,379402,379402,379402,379402
Hungary,1256415,1256415,1262280,1264709
Iceland,27059,27059,31070,32540
India,34889132,34922882,34960261,35018358
Indonesia,4262994,4263168,4263433,4263732
Iran,6195403,6196913,6198590,6200296
Iraq,2093891,2094097,2094349,2094667
Ireland,811840,811840,845897,867199
Israel,1390053,1395113,1404916,1411798
Italy,6266939,6328076,6396110,6566947
Jamaica,94649,95177,95946,96331
Japan,1733835,1734463,1735244,1736510
Jordan,1064277,1065571,1067253,1069549
Kazakhstan,1072999,1072999,1073786,1073789
Kenya,297155,298509,299732,302134
Kiribati,2,2,2,2
"Korea, North",0,0,0,0
"Korea, South",639083,642207,645226,649669
Kosovo,161531,161560,161598,161706
Kuwait,417723,418332,419314,420796
Kyrgyzstan,184748,184786,184827,184879
Laos,112083,112767,113432,113951
Latvia,276841,277021,277692,279320
Lebanon,731288,732733,735727,740814
Lesotho,29652,29756,29999,29999
Liberia,6278,6278,6278,6404
Libya,388734,389650,390284,390935
Liechtenstein,6167,6208,6236,6348
Lithuania,526628,527906,529212,531687
Luxembourg,103766,103766,105358,106235
MS Zaandam,9,9,9,9
Madagascar,50279,50279,50279,52434
Malawi,75828,76066,76295,76801
Malaysia,2761472,2764354,2767044,2769886
Maldives,95891,96052,96294,96522
Mali,21378,21549,21806,22383
Malta,53503,54250,55062,56209
Marshall Islands,4,4,4,4
Mauritania,41867,42182,42672,43497
Mauritius,68552,68612,68661,68661
Mexico,3988916,3990587,3993464,4008648
Micronesia,1,1,1,1
Moldova,376434,376602,376844,377496
Monaco,4985,4985,4985,4985
Mongolia,693119,693546,693849,695196
Montenegro,171873,173161,174865,177455
Morocco,965420,966777,967662,971961
Mozambique,191722,192453,193371,196346
Namibia,148839,149478,149741,150145
Nauru,0,0,0,0
Nepal,828773,828986,829277,829632
Netherlands,3200168,3218604,3234143,3254947
New Zealand,14257,14308,14367,14407
Nicaragua,13563,13563,13563,13563
Niger,7438,7438,7508,7590
Nigeria,242877,242877,244120,244548
North Macedonia,225484,225730,225972,227168
Norway,396415,399318,404551,412472
Oman,305489,305832,306008,306240
Pakistan,1296527,1297235,1297865,1298763
Palau,12,13,13,13
Panama,497808,498785,500148,500148
Papua New Guinea,36158,36190,36192,36193
Paraguay,466101,466101,469523,470460
Peru,2301177,2302678,2304674,2309856
Philippines,2847486,2851931,2855819,2861119
Poland,4120248,4127428,4133851,4145518
Portugal,1412936,1424016,1434570,1460406
Qatar,251361,252359,253536,255231
Romania,1810342,1811300,1813056,1816956
Russia,10340011,10358099,10374292,10390052
Rwanda,112654,113582,114580,116057
Saint Kitts and Nevis,3043,3193,3252,3333
