Country_Region,2022/01/01,2022/01/02,2022/01/03
Afghanistan,158107,158189,158183
Albania,210224,210885,210885
Algeria,218818,219159,219532
Andorra,23740,23740,24502
Angola,82398,82920,83764
Antarctica,11,11,11
Antigua and Barbuda,4283,4283,4283
Argentina,5674428,5694930,5739326
Armenia,344980,345007,345036
Australia,462955,492563,537308
Austria,1274628,1278327,1281328
Azerbaijan,617311,617679,617952
Bahamas,24476,25285,25534
Bahrain,282677,283344,284224
Bangladesh,1585909,1586466,1587140
Barbados,28810,28960,29160
Belarus,700421,701192,701699
Belgium,2105343,2105343,2133284
Belize,32840,32840,33457
Benin,24935,24935,24935
Bhutan,2660,2660,2664
Bolivia,599753,611031,622312
Bosnia and Herzegovina,291313,291313,291313
Botswana,219509,219509,222053
Brazil,22295621,22297427,22309081
Brunei,15470,15470,15506
Bulgaria,748184,749540,751458
Burkina Faso,17632,17632,17632
Burma,530946,531025,531155
Burundi,27366,27366,27366
Cabo Verde,42463,42811,43567
Cambodia,120507,120510,120516
Cameroon,109367,109367,109367
Canada,2256747,2286735,2323056
Central African Republic,12163,12163,12163
Chad,6183,6183,6183
Chile,1808398,1810302,1811297
China,128132,128259,128596
Colombia,5169855,5181173,5191021
Comoros,6688,6835,6907
Congo (Brazzaville),20089,20089,21277
Congo (Kinshasa),74793,74793,74793
Costa Rica,570556,570556,570556
Cote d'Ivoire,71815,72352,72352
Croatia,720538,720951,722054
Cuba,966473,966942,967498
Cyprus,169159,172697,177721
Czechia,2480736,2481832,2483762
Denmark,831974,839952,849334
Diamond Princess,712,712,712
Djibouti,13668,13685,13723
Dominica,6862,6862,6862
Dominican Republic,419927,421953,424809
Ecuador,551620,552324,553201
Egypt,386358,387159,387882
El Salvador,121945,121945,122063
Equatorial Guinea,13710,13710,13710
Eritrea,8026,8049,8063
Estonia,242123,242552,243236
Eswatini,66241,66286,66441
Ethiopia,424340,426656,428796
Fiji,54147,54147,55009
Finland,277700,281702,286679
France,10296909,10355341,10422830
Gabon,41798,41798,42640
Gambia,10170,10170,10170
Georgia,936844,937640,938583
Germany,7115992,7125701,7129500
Ghana,143997,145052,146119
Greece,1240862,1258495,1294741
Grenada,6299,6306,6338
Guatemala,628589,628695,628804
Guinea,32448,32671,32867
Guinea-Bissau,6484,6484,6499
