Country_Region,2021/01/01,2021/01/02,2021/01/03,2022/01/01,2022/01/02,2022/01/03,2023/01/01,2023/01/02
Afghanistan,52513,52586,52709,158107,158189,158183,207616,207627
Albania,58316,58991,59438,210224,210885,210885,333811,333812
Algeria,99897,100159,100408,218818,219159,219532,271229,271229
Andorra,8117,8166,8192,23740,23740,24502,47751,47751
Angola,17568,17608,17642,82398,82920,83764,105095,105095
Antarctica,0,0,0,11,11,11,11,11
Antigua and Barbuda,159,159,160,4283,4283,4283,9106,9106
Argentina,1629594,1634834,1640718,5674428,5694930,5739326,9891139,9963697
Armenia,159738,159798,160027,344980,345007,345036,445976,445976
Australia,28460,28484,28504,462955,492563,537308,11132933,11132933
Austria,358774,360777,362368,1274628,1278327,1281328,5707962,5709405
Azerbaijan,219041,219462,220265,617311,617679,617952,826427,826446
Bahamas,7887,7887,7914,24476,25285,25534,37491,37491
Bahrain,92913,93184,93478,282677,283344,284224,698774,698849
Bangladesh,514500,515184,516019,1585909,1586466,1587140,2037125,2037156
Barbados,395,395,556,28810,28960,29160,105515,105515
Belarus,196223,198125,199962,700421,701192,701699,994037,994037
Belgium,648289,649169,650011,2105343,2105343,2133284,4668248,4668248
Belize,10776,10807,10901,32840,32840,33457,69946,69946
Benin,3251,3251,3251,24935,24935,24935,27982,27982
Bhutan,689,710,716,2660,2660,2664,62524,62524
Bolivia,160985,162055,162661,599753,611031,622312,1163105,1163836
Bosnia and Herzegovina,112143,112143,112645,291313,291313,291313,400992,401001
Botswana,14805,14805,14805,219509,219509,222053,327860,327860
Brazil,7703971,7719324,7736514,22295621,22297427,22309081,36331281,36362366
Brunei,157,157,172,15470,15470,15506,266819,266819
Bulgaria,202540,202880,203051,748184,749540,751458,1292150,1292224
Burkina Faso,6828,6940,7051,17632,17632,17632,22006,22006
Burma,125042,125616,126345,530946,531025,531155,633685,633686
Burundi,822,822,833,27366,27366,27366,51722,51722
Cabo Verde,11872,11883,11920,42463,42811,43567,63200,63203
Cambodia,379,381,382,120507,120510,120516,138591,138595
Cameroon,26848,26848,26848,109367,109367,109367,123993,123993
Canada,596582,602396,612021,2256747,2286735,2323056,4505742,4506199
Central African Republic,4963,4963,4963,12163,12163,12163,15351,15351
Chad,2141,2169,2213,6183,6183,6183,7650,7651
Chile,612564,615902,618191,1808398,1810302,1811297,5041878,5044258
China,102649,102731,102808,128132,128259,128596,4612203,4637347
Colombia,1654880,1666408,1675820,5169855,5181173,5191021,6336660,6336660
Comoros,823,864,864,6688,6835,6907,8982,8982
Congo (Brazzaville),7107,7107,7107,20089,20089,21277,25375,25375
Congo (Kinshasa),17849,17998,18102,74793,74793,74793,95173,95173
Costa Rica,169321,169321,169321,570556,570556,570556,1161687,1161687
Cote d'Ivoire,22563,22563,22648,71815,72352,72352,87941,87941
Croatia,212007,212262,212958,720538,720951,722054,1264122,1264166
Cuba,12056,12225,12424,966473,966942,967498,1112018,1112038
Cyprus,23108,23275,23902,169159,172697,177721,631111,631111
Czechia,732022,735469,740481,2480736,2481832,2483762,4579980,4580077
Denmark,166567,168182,169358,831974,839952,849334,3432465,3432465
Diamond Princess,712,712,712,712,712,712,712,712
Djibouti,5840,5841,5842,13668,13685,13723,15690,15690
Dominica,88,88,88,6862,6862,6862,15760,15760
Dominican Republic,172218,172965,173331,419927,421953,424809,655540,655540
Ecuador,213378,214513,214614,551620,552324,553201,1040463,1040463
Egypt,139471,140878,142187,386358,387159,387882,515645,515645
El Salvador,46515,46803,46803,121945,121945,122063,201785,201785
Equatorial Guinea,5277,5277,5277,13710,13710,13710,17186,17186
Eritrea,1320,1320,1320,8026,8049,8063,10189,10189
Estonia,28406,28789,29131,242123,242552,243236,611891,611891
Eswatini,9482,9711,9943,66241,66286,66441,74034,74034
Ethiopia,124652,125049,125622,424340,426656,428796,498157,498228
Fiji,49,49,49,54147,54147,55009,68750,68750
Finland,36676,36804,37009,277700,281702,286679,1438205,1438205
France,2697014,2700480,2712975,10296909,10355341,10422830,39498188,39537275
Gabon,9571,9571,9571,41798,41798,42640,48980,48980
Gambia,3800,3800,3800,10170,10170,10170,12586,12586
Georgia,228410,228752,229169,936844,937640,938583,1808820,1808820
Germany,1721839,1757872,1768423,7115992,7125701,7129500,37369867,37410650
Ghana,54930,55064,55168,143997,145052,146119,171048,171048
Greece,139447,139709,140099,1240862,1258495,1294741,5548487,5548487
Grenada,127,127,127,6299,6306,6338,19644,19644
Guatemala,138236,138316,138475,628589,628695,628804,1204300,1204428
Guinea,13738,13784,13784,32448,32671,32867,38210,38210
Guinea-Bissau,2452,2452,2455,6484,6484,6499,8947,8947
Guyana,6348,6351,6358,39779,40060,40154,72163,72163
Haiti,10015,10015,10077,26213,26255,26259,33904,33904
Holy See,27,27,27,27,27,27,29,29
Honduras,122974,123144,123369,379402,379402,379402,465915,465915
Hungary,325278,326688,327995,1256415,1256415,1262280,2185816,2185816
Iceland,5754,5754,5754,27059,27059,31070,207974,207974
India,10305788,10323965,10340469,34889132,34922882,34960261,44680046,44680180
Indonesia,751270,758473,765350,4262994,4263168,4263433,6720181,6720443
Iran,1231429,1237474,1243434,6195403,6196913,6198590,7561213,7561309
Iraq,596193,597033,597774,2093891,2094097,2094349,2465107,2465390
